"NombreEvento";"Teatro";"UrlEvento"
"Extasis, Erotic Gay Cabaret Show";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019ed5e6-1165-72b2-bb10-a155b7d9fb42"
"Faunia";"Faunia";"https://www.abonoteatro.com/evento/019fb3af-67b7-70f7-bd9e-020db2a2519e"
"FIESTA";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019fd178-1205-714a-8c0d-1014d4edea60"
"FIESTA POP/ROCK ESPAÑOL Y CLÁSICOS DE SIEMPRE";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019f703c-6205-7052-bb9c-30a95072b554"
"FUSION FLAMENCA LAS VEGAS";"Teatro Las Vegas";"https://www.abonoteatro.com/evento/019fa3ea-1e50-70b3-b6b0-c2c1c886f9f2"
"Gag Movie - Yllana";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed55c-0a24-7227-9130-793743731cc9"
"Girl Power, Tributo A Las Divas Del Momento";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed637-feee-711f-9590-9797d92ab97c"
"Golden Crooner";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed5ef-5099-71fc-af2f-4ca019f8dbe1"
"GREASE EXPERIENCE";"Yasta Club";"https://www.abonoteatro.com/evento/019f9525-4d5a-717e-852f-0be4f7e2a935"
"Hamblet en el espejo";"Sala Komodia";"https://www.abonoteatro.com/evento/019f4261-1394-7001-a268-df23bafc553a"
"HIPOTECA CONCEBIDA";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019f8956-d52c-70e4-9b44-195602bcc17a"
"Homenaje A Juan Gabriel";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed5ea-31e3-7220-aaa6-ed57ee315209"
"Hotel Deseo";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed5f6-1ba5-713a-af62-98280e6f80ba"
"Impro Impar Show";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019f08c9-4c21-70e5-9c93-d82744511c72"
"Iphonsi Y Sus Múltiples Aplicaciones";"Teatro Escondido Gran Vía";"https://www.abonoteatro.com/evento/019ed59a-f231-7260-a43c-fc5fcc26ad06"
"Jon Antón, Live Experience";"La Butaca Amarilla";"https://www.abonoteatro.com/evento/019fa412-5124-7094-ab21-9cf7349959a2"
"Jorge Bedoya - Las Manos";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed527-ab38-73dd-9e80-a4ecd6ca7ff3"
"JUANA LA LOCA";"Teatros Luchana";"https://www.abonoteatro.com/evento/019f5bd7-6251-7369-9944-1ad2efe2df89"
"Juanita la fantástica";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019fa306-2d33-732c-b9ce-146a32e1f20b"
"La Azotea";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019ed53f-10b9-732d-9bb7-440c6c78fdc3"
"La Casa De Bernarda Alba";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed52d-4652-7358-8d5a-5be691e881c0"
"La Celestina";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed55a-0840-737c-b9a5-821f6be38970"
"LA COPA ROTA";"Teatro Serrano";"https://www.abonoteatro.com/evento/019f7fff-a170-7307-9f21-b67136ec5dba"
"La Dama Boba";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019ed593-1d11-7312-8253-aa79a1dd5456"
"La Fiesta de los 80 y 90 - El Musical";"Teatro Marquina";"https://www.abonoteatro.com/evento/019fd6d0-d608-71db-9a82-a0d84c30935e"
"La Francesa Laura";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019ed595-4fd6-72c9-9ecf-d4569d305674"
"La Habitación";"Sala Komodia";"https://www.abonoteatro.com/evento/019f4267-522d-7336-a3dc-414b6ef4b33c"
"LA HORA DEL VERMUT";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f1909-83b3-72c7-81e5-aa78099d3633"
"La Magia del Hielo - Tributo Frozen";"Espacio Alma";"https://www.abonoteatro.com/evento/019f4221-639e-7394-828a-4eef4b6b9aa6"
"La Odisea";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed4df-41c0-72d5-bc66-ace524032941"
"La Regenta";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed55a-986c-7008-9651-3503909ccf30"
"La Rosa 14";"Gran Teatro Pavón";"https://www.abonoteatro.com/evento/019ed560-0399-70b7-89f1-509ad4b462ce"
"La Tarotista";"Off Latina";"https://www.abonoteatro.com/evento/019ed501-de72-723e-a6e4-35b16276e138"
"La Vida En Un Segundo";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019ed549-afb8-70f0-a5ed-84af46c97565"
"La Zarzamora, Un Tributo A Las Divas Españolas";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed5c8-8ac3-7310-b7c2-a6fa84e3b47e"
"Lady Pepa";"Espacio Alma";"https://www.abonoteatro.com/evento/019f418c-62d4-716e-ba5a-70bb56520bb1"
"Las Gayshas";"Off Latina";"https://www.abonoteatro.com/evento/019ed9fe-e033-7074-aa68-a2a653ac2a96"
"Las Kellys";"Off Latina";"https://www.abonoteatro.com/evento/019ed503-671b-7112-bee6-cd22a3451678"
"LAS VEGAS EXPERIENCE";"Teatro Las Vegas";"https://www.abonoteatro.com/evento/019fa3ed-7583-7222-820b-e194d49a0ecc"
